Date,Order_dir,Quantity,Price
19/01/2023,BUY,1,3463.550000
20/01/2023,BUY,1,3456.150000
23/01/2023,BUY,1,3436.350000
27/01/2023,BUY,1,2761.450000
30/01/2023,BUY,1,2892.850000
11/05/2023,SELL,1,1984.650000
22/05/2023,SELL,1,2326.100000
23/05/2023,SELL,1,2633.700000
24/05/2023,SELL,1,2475.600000
25/05/2023,SELL,1,2537.450000
23/06/2023,BUY,1,2233.550000
26/06/2023,BUY,1,2295.600000
26/07/2023,SELL,1,2470.750000
31/07/2023,SELL,1,2492.200000
03/08/2023,SELL,1,2532.600000
04/08/2023,SELL,1,2541.800000
07/08/2023,SELL,1,2550.500000
21/08/2023,SELL,1,2639.750000
22/08/2023,SELL,1,2698.050000
29/09/2023,BUY,1,2413.900000
03/10/2023,BUY,1,2387.250000
23/10/2023,BUY,1,2308.650000
25/10/2023,BUY,1,2257.000000
26/10/2023,BUY,1,2203.200000
28/11/2023,SELL,1,2423.500000
29/11/2023,SELL,1,2396.600000
04/12/2023,SELL,1,2531.200000
05/12/2023,SELL,1,2959.350000
06/12/2023,SELL,1,2883.950000
