DATE,OPEN,HIGH,LOW,PREV. CLOSE,CLOSE,VWAP,NO OF TRADES
01/01/2024,2852.3,2947.0,2842.05,2848.95,2917.2,2914.54,116403
29/12/2023,2823.9,2863.3,2802.85,2809.9,2848.95,2838.38,65085
28/12/2023,2855.0,2867.35,2800.1,2843.35,2809.9,2818.51,108070
27/12/2023,2880.7,2894.8,2833.6,2865.45,2843.35,2854.23,96864
26/12/2023,2817.0,2893.75,2800.1,2808.35,2865.45,2859.55,124764
22/12/2023,2815.95,2847.6,2791.4,2799.75,2808.35,2819.62,76777
21/12/2023,2750.0,2821.95,2725.0,2783.85,2799.75,2788.43,139231
20/12/2023,2946.0,2968.0,2766.2,2941.25,2783.85,2870.07,171337
19/12/2023,2988.8,2994.35,2915.0,2980.6,2941.25,2950.36,81742
18/12/2023,2993.95,3027.75,2961.1,2991.8,2980.6,2993.07,100133
15/12/2023,2912.05,3000.0,2893.9,2894.05,2991.8,2962.62,180486
14/12/2023,2900.95,2932.95,2887.0,2875.05,2894.05,2908.68,140194
13/12/2023,2860.0,2899.1,2805.0,2857.65,2875.05,2854.75,118936
12/12/2023,2869.1,2895.95,2840.55,2855.8,2857.65,2864.57,91033
11/12/2023,2837.05,2919.9,2811.05,2822.15,2855.8,2867.92,202891
08/12/2023,2902.7,2927.0,2760.0,2887.15,2822.15,2839.19,289285
07/12/2023,2900.0,2945.9,2853.05,2883.95,2887.15,2898.6,265235
06/12/2023,3080.0,3154.55,2844.85,2959.35,2883.95,2987.51,780601
05/12/2023,2531.2,2999.9,2531.2,2531.2,2959.35,2804.15,753504
04/12/2023,2549.95,2595.0,2487.45,2362.7,2531.2,2529.8,226984
01/12/2023,2370.0,2403.35,2354.1,2358.55,2362.7,2372.38,79854
30/11/2023,2400.05,2409.0,2343.05,2396.6,2358.55,2361.69,128913
29/11/2023,2468.7,2477.65,2390.0,2423.5,2396.6,2429.99,176974
28/11/2023,2301.0,2512.4,2275.0,2225.45,2423.5,2416.12,429582
24/11/2023,2179.0,2251.95,2160.9,2175.25,2225.45,2206.04,91515
23/11/2023,2190.0,2190.0,2160.6,2172.65,2175.25,2176.85,38958
